cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;394,41;17/02/2024;5;0,1;LREN3;Normal;17;18/01/2024;2025-12-03
V;Futuro;197,25;12/02/2024;121;0,03;GGBR4;Normal;17;18/01/2024;2025-12-03
C;Futuro;340,58;14/02/2024;203;0,06;ABEV3;Normal;17;18/01/2024;2025-12-03
V;Futuro;390,54;15/02/2024;50;0,01;VVAR3;Normal;17;18/01/2024;2025-12-03
C;Futuro;427,56;15/02/2024;373;0,02;MGLU3;Normal;17;18/01/2024;2025-12-03
C;Futuro;244,19;16/02/2024;96;0,06;BBAS3;Normal;17;18/01/2024;2025-12-03
C;Futuro;56,45;18/02/2024;126;0,05;CSNA3;Normal;17;18/01/2024;2025-12-03
V;Futuro;234,64;16/02/2024;363;0,01;SUZB3;Normal;17;18/01/2024;2025-12-03
C;Futuro;435,84;20/02/2024;34;0,03;BBAS3;Normal;17;18/01/2024;2025-12-03
C;Futuro;468,67;17/02/2024;384;0,01;MGLU3;Normal;17;18/01/2024;2025-12-03
