cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;26/02/2024;185;0,05;EGIE3;203,05;28;29/01/2024;2025-12-04
V;Futuro;Normal;26/02/2024;66;0,04;B3SA3;193,08;28;29/01/2024;2025-12-04
C;Futuro;Normal;02/03/2024;105;0,09;JBSS3;129,37;28;29/01/2024;2025-12-04
C;Futuro;Normal;03/03/2024;384;0,03;EGIE3;499,35;28;29/01/2024;2025-12-04
C;Futuro;Normal;29/02/2024;438;0,05;ENBR3;104,59;28;29/01/2024;2025-12-04
V;Futuro;Normal;01/03/2024;459;0,02;VVAR3;421,3;28;29/01/2024;2025-12-04
C;Futuro;Normal;29/02/2024;364;0,01;MGLU3;470,08;28;29/01/2024;2025-12-04
C;Futuro;Normal;27/02/2024;254;0,09;RENT3;114,88;28;29/01/2024;2025-12-04
C;Futuro;Normal;04/03/2024;342;0,07;ITUB4;201,83;28;29/01/2024;2025-12-04
C;Futuro;Normal;24/02/2024;466;0,08;BRFS3;81,67;28;29/01/2024;2025-12-04
C;Futuro;Normal;27/02/2024;290;0,1;CSNA3;470,61;28;29/01/2024;2025-12-04
C;Futuro;Normal;27/02/2024;79;0,04;ITUB4;479,8;28;29/01/2024;2025-12-04
C;Futuro;Normal;01/03/2024;452;0,01;BBAS3;366,85;28;29/01/2024;2025-12-04
V;Futuro;Normal;29/02/2024;127;0,04;MGLU3;485,24;28;29/01/2024;2025-12-04
C;Futuro;Normal;26/02/2024;331;0,01;CSNA3;303,47;28;29/01/2024;2025-12-04
V;Futuro;Normal;27/02/2024;126;0,01;B3SA3;464,36;28;29/01/2024;2025-12-04
