cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;05/02/2024;453;0,04;ABEV3;295,47;8;09/01/2024;2025-12-04
V;Futuro;Normal;03/02/2024;476;0,05;WEGE3;312,91;8;09/01/2024;2025-12-04
C;Futuro;Normal;12/02/2024;218;0,07;LREN3;178,84;8;09/01/2024;2025-12-04
V;Futuro;Normal;12/02/2024;308;0,07;JBSS3;326,83;8;09/01/2024;2025-12-04
C;Futuro;Normal;10/02/2024;426;0,04;PETR4;336,1;8;09/01/2024;2025-12-04
C;Futuro;Normal;03/02/2024;104;0,05;WEGE3;113,24;8;09/01/2024;2025-12-04
C;Futuro;Normal;03/02/2024;461;0,06;CIEL3;396,19;8;09/01/2024;2025-12-04
C;Futuro;Normal;13/02/2024;419;0,04;CIEL3;406,84;8;09/01/2024;2025-12-04
C;Futuro;Normal;08/02/2024;428;0,09;RENT3;60,56;8;09/01/2024;2025-12-04
C;Futuro;Normal;13/02/2024;339;0,01;B3SA3;486,02;8;09/01/2024;2025-12-04
C;Futuro;Normal;04/02/2024;348;0,04;B3SA3;417,43;8;09/01/2024;2025-12-04
C;Futuro;Normal;08/02/2024;465;0,02;WEGE3;212,48;8;09/01/2024;2025-12-04
V;Futuro;Normal;03/02/2024;493;0,04;GGBR4;259,54;8;09/01/2024;2025-12-04
C;Futuro;Normal;08/02/2024;428;0,01;ENBR3;86,06;8;09/01/2024;2025-12-04
V;Futuro;Normal;07/02/2024;311;0,09;EGIE3;271,94;8;09/01/2024;2025-12-04
V;Futuro;Normal;06/02/2024;320;0;BRFS3;467,18;8;09/01/2024;2025-12-04
