cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;432,08;21/02/2024;90;0,01;BRFS3;Normal;18;19/01/2024;2025-12-03
C;Futuro;51,69;16/02/2024;273;0,02;LREN3;Normal;18;19/01/2024;2025-12-03
C;Futuro;479,49;18/02/2024;29;0,05;VVAR3;Normal;18;19/01/2024;2025-12-03
C;Futuro;248,28;20/02/2024;176;0,06;RENT3;Normal;18;19/01/2024;2025-12-03
C;Futuro;55,49;16/02/2024;17;0,08;MGLU3;Normal;18;19/01/2024;2025-12-03
V;Futuro;216,73;19/02/2024;200;0,05;CIEL3;Normal;18;19/01/2024;2025-12-03
C;Futuro;118,09;20/02/2024;239;0,05;WEGE3;Normal;18;19/01/2024;2025-12-03
C;Futuro;427,82;20/02/2024;475;0;B3SA3;Normal;18;19/01/2024;2025-12-03
C;Futuro;366,56;21/02/2024;488;0,05;CSNA3;Normal;18;19/01/2024;2025-12-03
C;Futuro;63,79;18/02/2024;409;0,02;CIEL3;Normal;18;19/01/2024;2025-12-03
C;Futuro;378,37;19/02/2024;395;0,03;SUZB3;Normal;18;19/01/2024;2025-12-03
V;Futuro;446,86;15/02/2024;346;0,04;PETR4;Normal;18;19/01/2024;2025-12-03
V;Futuro;266,37;21/02/2024;325;0,06;SUZB3;Normal;18;19/01/2024;2025-12-03
C;Futuro;52,15;23/02/2024;93;0,01;SUZB3;Normal;18;19/01/2024;2025-12-03
