cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;19/02/2024;220;0,08;LREN3;147,66;18;19/01/2024;2025-12-04
C;Futuro;Normal;22/02/2024;288;0,05;PETR4;61,65;18;19/01/2024;2025-12-04
C;Futuro;Normal;18/02/2024;419;0,08;ABEV3;434,99;18;19/01/2024;2025-12-04
V;Futuro;Normal;15/02/2024;292;0,07;MGLU3;167,11;18;19/01/2024;2025-12-04
V;Futuro;Normal;21/02/2024;7;0,09;PETR4;222,18;18;19/01/2024;2025-12-04
V;Futuro;Normal;17/02/2024;319;0,01;BBDC4;135,59;18;19/01/2024;2025-12-04
C;Futuro;Normal;19/02/2024;141;0,02;CSNA3;197,5;18;19/01/2024;2025-12-04
C;Futuro;Normal;16/02/2024;223;0,08;RENT3;222,95;18;19/01/2024;2025-12-04
V;Futuro;Normal;17/02/2024;47;0,06;ITUB4;356,36;18;19/01/2024;2025-12-04
V;Futuro;Normal;20/02/2024;362;0,09;WEGE3;53,73;18;19/01/2024;2025-12-04
V;Futuro;Normal;20/02/2024;176;0,03;VVAR3;133,07;18;19/01/2024;2025-12-04
V;Futuro;Normal;20/02/2024;323;0;ITUB4;93,88;18;19/01/2024;2025-12-04
C;Futuro;Normal;23/02/2024;303;0,08;EGIE3;117,97;18;19/01/2024;2025-12-04
V;Futuro;Normal;22/02/2024;369;0,08;BBAS3;154,5;18;19/01/2024;2025-12-04
C;Futuro;Normal;21/02/2024;60;0,02;SUZB3;109,66;18;19/01/2024;2025-12-04
C;Futuro;Normal;22/02/2024;197;0,09;RENT3;297,05;18;19/01/2024;2025-12-04
