cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;11/02/2024;155;0,07;CIEL3;223,43;12;13/01/2024;2025-12-04
C;Futuro;Normal;09/02/2024;280;0,06;CIEL3;274,19;12;13/01/2024;2025-12-04
C;Futuro;Normal;09/02/2024;133;0,03;BRFS3;209,28;12;13/01/2024;2025-12-04
V;Futuro;Normal;17/02/2024;440;0,06;BBAS3;462,48;12;13/01/2024;2025-12-04
V;Futuro;Normal;17/02/2024;259;0,01;LREN3;365,36;12;13/01/2024;2025-12-04
C;Futuro;Normal;08/02/2024;311;0,1;BRFS3;414,77;12;13/01/2024;2025-12-04
V;Futuro;Normal;13/02/2024;405;0,05;CSNA3;408,93;12;13/01/2024;2025-12-04
C;Futuro;Normal;10/02/2024;223;0,09;RENT3;109,73;12;13/01/2024;2025-12-04
C;Futuro;Normal;14/02/2024;413;0,05;WEGE3;57,49;12;13/01/2024;2025-12-04
V;Futuro;Normal;13/02/2024;376;0,08;BBDC4;372,14;12;13/01/2024;2025-12-04
V;Futuro;Normal;17/02/2024;246;0,06;JBSS3;419,32;12;13/01/2024;2025-12-04
V;Futuro;Normal;17/02/2024;295;0,04;BBDC4;110,04;12;13/01/2024;2025-12-04
C;Futuro;Normal;15/02/2024;115;0,07;BRFS3;284,42;12;13/01/2024;2025-12-04
C;Futuro;Normal;08/02/2024;435;0,03;VVAR3;485,1;12;13/01/2024;2025-12-04
C;Futuro;Normal;09/02/2024;384;0,08;BRFS3;348,5;12;13/01/2024;2025-12-04
V;Futuro;Normal;09/02/2024;209;0,01;MGLU3;357,15;12;13/01/2024;2025-12-04
