cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
C;Futuro;270,5;15/02/2024;384;0,09;GGBR4;Normal;19;20/01/2024;2025-12-03
C;Futuro;471,64;18/02/2024;482;0,06;WEGE3;Normal;19;20/01/2024;2025-12-03
V;Futuro;182,08;14/02/2024;33;0,06;VVAR3;Normal;19;20/01/2024;2025-12-03
V;Futuro;403,06;15/02/2024;135;0;LREN3;Normal;19;20/01/2024;2025-12-03
C;Futuro;338,84;18/02/2024;200;0,04;BBDC4;Normal;19;20/01/2024;2025-12-03
C;Futuro;382,53;17/02/2024;454;0,07;CIEL3;Normal;19;20/01/2024;2025-12-03
C;Futuro;213,48;19/02/2024;381;0,07;CIEL3;Normal;19;20/01/2024;2025-12-03
C;Futuro;197,47;23/02/2024;388;0,01;VVAR3;Normal;19;20/01/2024;2025-12-03
C;Futuro;113,05;24/02/2024;129;0,03;VALE3;Normal;19;20/01/2024;2025-12-03
V;Futuro;258,4;18/02/2024;129;0,01;MGLU3;Normal;19;20/01/2024;2025-12-03
V;Futuro;257,37;19/02/2024;30;0,1;WEGE3;Normal;19;20/01/2024;2025-12-03
V;Futuro;85,52;20/02/2024;59;0,04;B3SA3;Normal;19;20/01/2024;2025-12-03
V;Futuro;105,13;22/02/2024;359;0,02;CSNA3;Normal;19;20/01/2024;2025-12-03
C;Futuro;211,98;14/02/2024;458;0,03;CIEL3;Normal;19;20/01/2024;2025-12-03
