cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
C;Futuro;233,95;30/01/2024;455;0,05;SUZB3;Normal;1;02/01/2024;2025-12-03
C;Futuro;133,57;28/01/2024;176;0,06;ENBR3;Normal;1;02/01/2024;2025-12-03
V;Futuro;182,48;27/01/2024;112;0,08;LREN3;Normal;1;02/01/2024;2025-12-03
C;Futuro;326,58;27/01/2024;31;0,03;CSNA3;Normal;1;02/01/2024;2025-12-03
C;Futuro;257,22;04/02/2024;118;0,09;B3SA3;Normal;1;02/01/2024;2025-12-03
V;Futuro;91,1;06/02/2024;402;0,09;BRFS3;Normal;1;02/01/2024;2025-12-03
V;Futuro;95,38;30/01/2024;285;0,09;CSNA3;Normal;1;02/01/2024;2025-12-03
C;Futuro;178,22;30/01/2024;72;0,03;BBDC4;Normal;1;02/01/2024;2025-12-03
C;Futuro;230,68;31/01/2024;112;0,02;B3SA3;Normal;1;02/01/2024;2025-12-03
C;Futuro;388,1;03/02/2024;265;0,05;B3SA3;Normal;1;02/01/2024;2025-12-03
V;Futuro;496,33;30/01/2024;358;0,08;BBAS3;Normal;1;02/01/2024;2025-12-03
C;Futuro;239,52;01/02/2024;113;0,04;WEGE3;Normal;1;02/01/2024;2025-12-03
