cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;20/02/2024;293;0,07;B3SA3;139,47;21;22/01/2024;2025-12-04
V;Futuro;Normal;26/02/2024;282;0,03;B3SA3;144,64;21;22/01/2024;2025-12-04
V;Futuro;Normal;17/02/2024;395;0,08;B3SA3;349,74;21;22/01/2024;2025-12-04
C;Futuro;Normal;19/02/2024;407;0,01;GGBR4;182,08;21;22/01/2024;2025-12-04
V;Futuro;Normal;18/02/2024;291;0;SUZB3;488,22;21;22/01/2024;2025-12-04
C;Futuro;Normal;24/02/2024;284;0,05;BRFS3;390,43;21;22/01/2024;2025-12-04
C;Futuro;Normal;17/02/2024;4;0,01;MGLU3;118,15;21;22/01/2024;2025-12-04
V;Futuro;Normal;19/02/2024;364;0,02;BRFS3;84,04;21;22/01/2024;2025-12-04
V;Futuro;Normal;16/02/2024;493;0,05;B3SA3;426,38;21;22/01/2024;2025-12-04
C;Futuro;Normal;25/02/2024;311;0,01;B3SA3;274,95;21;22/01/2024;2025-12-04
V;Futuro;Normal;18/02/2024;488;0,05;ABEV3;437,26;21;22/01/2024;2025-12-04
V;Futuro;Normal;18/02/2024;157;0,03;BRFS3;195,02;21;22/01/2024;2025-12-04
V;Futuro;Normal;19/02/2024;391;0,05;BBAS3;290,55;21;22/01/2024;2025-12-04
V;Futuro;Normal;22/02/2024;356;0,01;ITUB4;214,1;21;22/01/2024;2025-12-04
C;Futuro;Normal;20/02/2024;334;0,1;GGBR4;156,04;21;22/01/2024;2025-12-04
C;Futuro;Normal;26/02/2024;385;0,08;SUZB3;309,05;21;22/01/2024;2025-12-04
