cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
C;Futuro;179,91;15/02/2024;353;0,01;EGIE3;Normal;13;14/01/2024;2025-12-03
V;Futuro;105,74;14/02/2024;163;0,02;CIEL3;Normal;13;14/01/2024;2025-12-03
C;Futuro;60,26;11/02/2024;56;0,09;RENT3;Normal;13;14/01/2024;2025-12-03
V;Futuro;262;17/02/2024;162;0,09;LREN3;Normal;13;14/01/2024;2025-12-03
V;Futuro;97,1;11/02/2024;391;0,05;GGBR4;Normal;13;14/01/2024;2025-12-03
V;Futuro;128,47;16/02/2024;457;0,09;VVAR3;Normal;13;14/01/2024;2025-12-03
C;Futuro;162,25;15/02/2024;338;0,06;WEGE3;Normal;13;14/01/2024;2025-12-03
C;Futuro;331,96;17/02/2024;294;0,06;BBAS3;Normal;13;14/01/2024;2025-12-03
C;Futuro;437,1;17/02/2024;158;0,05;BBAS3;Normal;13;14/01/2024;2025-12-03
V;Futuro;120,49;11/02/2024;331;0,03;EGIE3;Normal;13;14/01/2024;2025-12-03
V;Futuro;77,95;10/02/2024;63;0,1;JBSS3;Normal;13;14/01/2024;2025-12-03
V;Futuro;64,11;18/02/2024;162;0,02;JBSS3;Normal;13;14/01/2024;2025-12-03
