cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;66,02;04/03/2024;58;0,05;ABEV3;Normal;29;30/01/2024;2025-12-03
V;Futuro;477,8;03/03/2024;392;0,05;BBDC4;Normal;29;30/01/2024;2025-12-03
C;Futuro;355,67;27/02/2024;2;0,05;WEGE3;Normal;29;30/01/2024;2025-12-03
V;Futuro;438,37;25/02/2024;373;0,06;VVAR3;Normal;29;30/01/2024;2025-12-03
C;Futuro;142,79;29/02/2024;403;0,02;ABEV3;Normal;29;30/01/2024;2025-12-03
C;Futuro;482,27;04/03/2024;13;0;BBDC4;Normal;29;30/01/2024;2025-12-03
V;Futuro;160,55;02/03/2024;342;0,08;ITUB4;Normal;29;30/01/2024;2025-12-03
V;Futuro;59,02;04/03/2024;484;0,04;WEGE3;Normal;29;30/01/2024;2025-12-03
C;Futuro;67,5;27/02/2024;318;0,06;SUZB3;Normal;29;30/01/2024;2025-12-03
V;Futuro;439,01;29/02/2024;499;0,09;BBAS3;Normal;29;30/01/2024;2025-12-03
