cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;495,56;10/02/2024;337;0,01;VALE3;Normal;11;12/01/2024;2025-12-03
V;Futuro;189,76;08/02/2024;0;0;VALE3;Normal;11;12/01/2024;2025-12-03
C;Futuro;126,44;10/02/2024;232;0,08;SUZB3;Normal;11;12/01/2024;2025-12-03
V;Futuro;233,48;07/02/2024;247;0,07;EGIE3;Normal;11;12/01/2024;2025-12-03
C;Futuro;394,54;11/02/2024;101;0,03;CIEL3;Normal;11;12/01/2024;2025-12-03
V;Futuro;91,52;14/02/2024;86;0,09;VVAR3;Normal;11;12/01/2024;2025-12-03
V;Futuro;480,65;14/02/2024;86;0,01;CIEL3;Normal;11;12/01/2024;2025-12-03
C;Futuro;308,44;13/02/2024;38;0,01;CSNA3;Normal;11;12/01/2024;2025-12-03
C;Futuro;74,78;12/02/2024;366;0,06;ENBR3;Normal;11;12/01/2024;2025-12-03
C;Futuro;427,1;11/02/2024;5;0,1;JBSS3;Normal;11;12/01/2024;2025-12-03
C;Futuro;384,05;13/02/2024;200;0,04;ENBR3;Normal;11;12/01/2024;2025-12-03
C;Futuro;469,92;06/02/2024;328;0,05;VALE3;Normal;11;12/01/2024;2025-12-03
