cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;21/02/2024;188;0,1;BRFS3;186,96;23;24/01/2024;2025-12-04
V;Futuro;Normal;23/02/2024;367;0,03;SUZB3;272,45;23;24/01/2024;2025-12-04
V;Futuro;Normal;25/02/2024;216;0,04;MGLU3;403,99;23;24/01/2024;2025-12-04
C;Futuro;Normal;19/02/2024;186;0,07;ITUB4;393,55;23;24/01/2024;2025-12-04
C;Futuro;Normal;18/02/2024;93;0,08;RENT3;458,7;23;24/01/2024;2025-12-04
V;Futuro;Normal;23/02/2024;231;0,04;LREN3;182,9;23;24/01/2024;2025-12-04
V;Futuro;Normal;26/02/2024;285;0,06;PETR4;479,32;23;24/01/2024;2025-12-04
C;Futuro;Normal;22/02/2024;413;0,03;ABEV3;309,3;23;24/01/2024;2025-12-04
C;Futuro;Normal;19/02/2024;347;0;RENT3;247,37;23;24/01/2024;2025-12-04
V;Futuro;Normal;23/02/2024;115;0,08;BBAS3;483,48;23;24/01/2024;2025-12-04
C;Futuro;Normal;27/02/2024;402;0,06;CIEL3;224,19;23;24/01/2024;2025-12-04
C;Futuro;Normal;24/02/2024;488;0,01;EGIE3;76,68;23;24/01/2024;2025-12-04
V;Futuro;Normal;21/02/2024;352;0,09;BRFS3;344,4;23;24/01/2024;2025-12-04
V;Futuro;Normal;23/02/2024;425;0,06;MGLU3;137,54;23;24/01/2024;2025-12-04
C;Futuro;Normal;19/02/2024;301;0,1;ENBR3;52,29;23;24/01/2024;2025-12-04
C;Futuro;Normal;24/02/2024;125;0,01;CIEL3;142,19;23;24/01/2024;2025-12-04
