cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;21/02/2024;431;0,04;BRFS3;327,7;26;27/01/2024;2025-12-04
V;Futuro;Normal;01/03/2024;378;0,08;SUZB3;352,28;26;27/01/2024;2025-12-04
V;Futuro;Normal;27/02/2024;70;0,09;JBSS3;438,16;26;27/01/2024;2025-12-04
C;Futuro;Normal;24/02/2024;302;0,08;CSNA3;76,16;26;27/01/2024;2025-12-04
C;Futuro;Normal;02/03/2024;71;0,09;JBSS3;354,13;26;27/01/2024;2025-12-04
V;Futuro;Normal;25/02/2024;223;0,07;MGLU3;270,15;26;27/01/2024;2025-12-04
V;Futuro;Normal;23/02/2024;242;0,02;VALE3;133,75;26;27/01/2024;2025-12-04
C;Futuro;Normal;24/02/2024;236;0,07;GGBR4;172,62;26;27/01/2024;2025-12-04
C;Futuro;Normal;01/03/2024;92;0,07;VALE3;108,16;26;27/01/2024;2025-12-04
C;Futuro;Normal;24/02/2024;150;0,07;BRFS3;205,88;26;27/01/2024;2025-12-04
C;Futuro;Normal;25/02/2024;48;0,09;BBDC4;416,23;26;27/01/2024;2025-12-04
V;Futuro;Normal;27/02/2024;53;0,01;CSNA3;198,22;26;27/01/2024;2025-12-04
C;Futuro;Normal;27/02/2024;398;0,01;VVAR3;300,2;26;27/01/2024;2025-12-04
V;Futuro;Normal;26/02/2024;192;0,06;GGBR4;308,21;26;27/01/2024;2025-12-04
V;Futuro;Normal;26/02/2024;434;0,04;BBAS3;136,76;26;27/01/2024;2025-12-04
V;Futuro;Normal;21/02/2024;383;0,09;EGIE3;259,48;26;27/01/2024;2025-12-04
