cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;05/02/2024;343;0,08;CSNA3;414,41;3;04/01/2024;2025-12-04
V;Futuro;Normal;08/02/2024;77;0,03;ENBR3;95,99;3;04/01/2024;2025-12-04
V;Futuro;Normal;31/01/2024;232;0;VVAR3;218,75;3;04/01/2024;2025-12-04
V;Futuro;Normal;30/01/2024;13;0,09;PETR4;290,68;3;04/01/2024;2025-12-04
C;Futuro;Normal;06/02/2024;88;0,08;BRFS3;82,62;3;04/01/2024;2025-12-04
C;Futuro;Normal;08/02/2024;43;0,03;VVAR3;267,95;3;04/01/2024;2025-12-04
C;Futuro;Normal;07/02/2024;284;0,06;RENT3;288,16;3;04/01/2024;2025-12-04
C;Futuro;Normal;08/02/2024;274;0,04;LREN3;132,23;3;04/01/2024;2025-12-04
V;Futuro;Normal;04/02/2024;363;0,01;RENT3;55,77;3;04/01/2024;2025-12-04
V;Futuro;Normal;04/02/2024;284;0,05;LREN3;299,48;3;04/01/2024;2025-12-04
C;Futuro;Normal;03/02/2024;447;0,08;B3SA3;220,02;3;04/01/2024;2025-12-04
C;Futuro;Normal;03/02/2024;253;0,03;PETR4;401,92;3;04/01/2024;2025-12-04
V;Futuro;Normal;03/02/2024;95;0,03;B3SA3;494,56;3;04/01/2024;2025-12-04
