cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
C;Futuro;211,04;24/02/2024;401;0,09;VALE3;Normal;25;26/01/2024;2025-12-03
V;Futuro;175,94;24/02/2024;394;0,07;SUZB3;Normal;25;26/01/2024;2025-12-03
V;Futuro;369,57;21/02/2024;270;0,02;VVAR3;Normal;25;26/01/2024;2025-12-03
V;Futuro;129,74;25/02/2024;45;0,05;CIEL3;Normal;25;26/01/2024;2025-12-03
V;Futuro;269,38;23/02/2024;1;0,03;GGBR4;Normal;25;26/01/2024;2025-12-03
C;Futuro;243,01;20/02/2024;428;0,06;SUZB3;Normal;25;26/01/2024;2025-12-03
C;Futuro;125,22;23/02/2024;131;0,07;WEGE3;Normal;25;26/01/2024;2025-12-03
V;Futuro;145,46;25/02/2024;16;0,01;B3SA3;Normal;25;26/01/2024;2025-12-03
V;Futuro;311,54;29/02/2024;338;0,04;ENBR3;Normal;25;26/01/2024;2025-12-03
C;Futuro;430,08;25/02/2024;284;0,02;WEGE3;Normal;25;26/01/2024;2025-12-03
V;Futuro;271,87;28/02/2024;154;0,07;ITUB4;Normal;25;26/01/2024;2025-12-03
V;Futuro;214,44;28/02/2024;207;0,07;VVAR3;Normal;25;26/01/2024;2025-12-03
V;Futuro;400,23;01/03/2024;408;0,06;B3SA3;Normal;25;26/01/2024;2025-12-03
C;Futuro;74,62;20/02/2024;226;0,04;JBSS3;Normal;25;26/01/2024;2025-12-03
V;Futuro;286,99;01/03/2024;280;0,06;BBAS3;Normal;25;26/01/2024;2025-12-03
