cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;249,56;25/02/2024;364;0,02;MGLU3;Normal;28;29/01/2024;2025-12-03
V;Futuro;51,21;01/03/2024;146;0,04;CIEL3;Normal;28;29/01/2024;2025-12-03
C;Futuro;53,1;04/03/2024;233;0,03;ITUB4;Normal;28;29/01/2024;2025-12-03
V;Futuro;360,9;25/02/2024;74;0,05;VVAR3;Normal;28;29/01/2024;2025-12-03
V;Futuro;307,89;23/02/2024;201;0;MGLU3;Normal;28;29/01/2024;2025-12-03
C;Futuro;380,72;24/02/2024;222;0,09;GGBR4;Normal;28;29/01/2024;2025-12-03
V;Futuro;410,71;28/02/2024;33;0,04;PETR4;Normal;28;29/01/2024;2025-12-03
C;Futuro;276,03;26/02/2024;459;0,03;PETR4;Normal;28;29/01/2024;2025-12-03
C;Futuro;150,81;24/02/2024;116;0,02;BRFS3;Normal;28;29/01/2024;2025-12-03
V;Futuro;378,74;24/02/2024;265;0,07;WEGE3;Normal;28;29/01/2024;2025-12-03
V;Futuro;75,26;03/03/2024;294;0,04;CIEL3;Normal;28;29/01/2024;2025-12-03
C;Futuro;379,67;04/03/2024;457;0,07;EGIE3;Normal;28;29/01/2024;2025-12-03
