cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;163,99;07/02/2024;250;0,02;MGLU3;Normal;12;13/01/2024;2025-12-03
V;Futuro;222,71;12/02/2024;191;0,01;CIEL3;Normal;12;13/01/2024;2025-12-03
V;Futuro;331,59;14/02/2024;347;0,06;GGBR4;Normal;12;13/01/2024;2025-12-03
C;Futuro;81,22;17/02/2024;258;0,09;MGLU3;Normal;12;13/01/2024;2025-12-03
V;Futuro;302,47;08/02/2024;53;0,08;CIEL3;Normal;12;13/01/2024;2025-12-03
V;Futuro;454,26;13/02/2024;285;0,03;SUZB3;Normal;12;13/01/2024;2025-12-03
V;Futuro;328,04;09/02/2024;90;0,06;SUZB3;Normal;12;13/01/2024;2025-12-03
C;Futuro;197,21;12/02/2024;270;0,01;LREN3;Normal;12;13/01/2024;2025-12-03
V;Futuro;356,08;12/02/2024;419;0,06;ABEV3;Normal;12;13/01/2024;2025-12-03
V;Futuro;159,51;08/02/2024;450;0,08;PETR4;Normal;12;13/01/2024;2025-12-03
V;Futuro;252;08/02/2024;83;0,09;VALE3;Normal;12;13/01/2024;2025-12-03
V;Futuro;491,5;11/02/2024;103;0,05;LREN3;Normal;12;13/01/2024;2025-12-03
