cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
C;Futuro;118,83;20/02/2024;444;0,05;LREN3;Normal;24;25/01/2024;2025-12-03
V;Futuro;189,74;21/02/2024;250;0;LREN3;Normal;24;25/01/2024;2025-12-03
V;Futuro;429,51;26/02/2024;128;0,08;CIEL3;Normal;24;25/01/2024;2025-12-03
C;Futuro;188,16;20/02/2024;369;0,07;ENBR3;Normal;24;25/01/2024;2025-12-03
V;Futuro;332,84;29/02/2024;114;0,01;ITUB4;Normal;24;25/01/2024;2025-12-03
C;Futuro;452,87;28/02/2024;302;0,09;BRFS3;Normal;24;25/01/2024;2025-12-03
C;Futuro;236,9;24/02/2024;174;0,05;JBSS3;Normal;24;25/01/2024;2025-12-03
C;Futuro;233,25;29/02/2024;305;0,06;SUZB3;Normal;24;25/01/2024;2025-12-03
C;Futuro;243,33;26/02/2024;437;0,06;RENT3;Normal;24;25/01/2024;2025-12-03
V;Futuro;108,87;28/02/2024;497;0,1;WEGE3;Normal;24;25/01/2024;2025-12-03
V;Futuro;371,22;19/02/2024;357;0,07;GGBR4;Normal;24;25/01/2024;2025-12-03
C;Futuro;155,27;27/02/2024;153;0,08;ABEV3;Normal;24;25/01/2024;2025-12-03
C;Futuro;176,02;29/02/2024;432;0,02;WEGE3;Normal;24;25/01/2024;2025-12-03
V;Futuro;260,29;23/02/2024;28;0,05;PETR4;Normal;24;25/01/2024;2025-12-03
C;Futuro;358,58;29/02/2024;188;0,06;SUZB3;Normal;24;25/01/2024;2025-12-03
