cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;60,05;21/02/2024;137;0,06;CSNA3;Normal;16;17/01/2024;2025-12-03
C;Futuro;104,87;11/02/2024;489;0,03;BBAS3;Normal;16;17/01/2024;2025-12-03
C;Futuro;414,06;17/02/2024;430;0;BBDC4;Normal;16;17/01/2024;2025-12-03
C;Futuro;289,26;14/02/2024;25;0,03;JBSS3;Normal;16;17/01/2024;2025-12-03
C;Futuro;380,9;16/02/2024;121;0,04;CSNA3;Normal;16;17/01/2024;2025-12-03
C;Futuro;84,6;17/02/2024;405;0,02;JBSS3;Normal;16;17/01/2024;2025-12-03
C;Futuro;389,7;11/02/2024;265;0,06;VVAR3;Normal;16;17/01/2024;2025-12-03
C;Futuro;201,12;13/02/2024;411;0,09;ABEV3;Normal;16;17/01/2024;2025-12-03
C;Futuro;223,33;12/02/2024;495;0,06;PETR4;Normal;16;17/01/2024;2025-12-03
V;Futuro;76,96;11/02/2024;101;0,09;ENBR3;Normal;16;17/01/2024;2025-12-03
C;Futuro;281,1;21/02/2024;372;0,06;SUZB3;Normal;16;17/01/2024;2025-12-03
C;Futuro;390,2;13/02/2024;9;0,09;RENT3;Normal;16;17/01/2024;2025-12-03
