cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;10/02/2024;263;0,05;PETR4;447,26;10;11/01/2024;2025-12-04
C;Futuro;Normal;07/02/2024;488;0,06;VALE3;365,03;10;11/01/2024;2025-12-04
V;Futuro;Normal;06/02/2024;323;0,04;CIEL3;248,98;10;11/01/2024;2025-12-04
V;Futuro;Normal;11/02/2024;7;0,05;VVAR3;479,77;10;11/01/2024;2025-12-04
V;Futuro;Normal;06/02/2024;285;0;B3SA3;217,53;10;11/01/2024;2025-12-04
V;Futuro;Normal;05/02/2024;478;0,02;BRFS3;262,43;10;11/01/2024;2025-12-04
V;Futuro;Normal;12/02/2024;203;0,04;MGLU3;70,98;10;11/01/2024;2025-12-04
V;Futuro;Normal;10/02/2024;470;0,07;BBDC4;246,34;10;11/01/2024;2025-12-04
V;Futuro;Normal;14/02/2024;454;0,09;BRFS3;112,05;10;11/01/2024;2025-12-04
C;Futuro;Normal;15/02/2024;324;0,04;RENT3;291,55;10;11/01/2024;2025-12-04
V;Futuro;Normal;08/02/2024;31;0,01;VVAR3;423,36;10;11/01/2024;2025-12-04
V;Futuro;Normal;13/02/2024;451;0,04;MGLU3;139,22;10;11/01/2024;2025-12-04
V;Futuro;Normal;10/02/2024;202;0,02;ENBR3;377,47;10;11/01/2024;2025-12-04
C;Futuro;Normal;08/02/2024;294;0,04;GGBR4;435,67;10;11/01/2024;2025-12-04
V;Futuro;Normal;06/02/2024;180;0,02;ABEV3;134,94;10;11/01/2024;2025-12-04
V;Futuro;Normal;05/02/2024;128;0,08;VVAR3;76,36;10;11/01/2024;2025-12-04
