cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;345,01;05/02/2024;409;0,01;B3SA3;Normal;5;06/01/2024;2025-12-03
V;Futuro;85,27;07/02/2024;434;0,03;SUZB3;Normal;5;06/01/2024;2025-12-03
V;Futuro;432,02;05/02/2024;127;0,01;GGBR4;Normal;5;06/01/2024;2025-12-03
V;Futuro;393,37;10/02/2024;448;0,07;BBDC4;Normal;5;06/01/2024;2025-12-03
V;Futuro;182,92;07/02/2024;442;0,09;MGLU3;Normal;5;06/01/2024;2025-12-03
V;Futuro;246,22;31/01/2024;341;0,05;VVAR3;Normal;5;06/01/2024;2025-12-03
C;Futuro;427,55;02/02/2024;161;0,03;ITUB4;Normal;5;06/01/2024;2025-12-03
C;Futuro;383,71;03/02/2024;437;0,08;ENBR3;Normal;5;06/01/2024;2025-12-03
V;Futuro;430,25;03/02/2024;149;0,03;CSNA3;Normal;5;06/01/2024;2025-12-03
C;Futuro;208,15;06/02/2024;254;0,05;ABEV3;Normal;5;06/01/2024;2025-12-03
C;Futuro;385,34;07/02/2024;296;0,01;PETR4;Normal;5;06/01/2024;2025-12-03
V;Futuro;237,34;05/02/2024;196;0,01;SUZB3;Normal;5;06/01/2024;2025-12-03
