cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;29/02/2024;256;0,06;LREN3;279,13;24;25/01/2024;2025-12-04
V;Futuro;Normal;24/02/2024;110;0,05;RENT3;108,26;24;25/01/2024;2025-12-04
V;Futuro;Normal;21/02/2024;68;0,02;CSNA3;50,54;24;25/01/2024;2025-12-04
V;Futuro;Normal;23/02/2024;146;0,05;WEGE3;384,32;24;25/01/2024;2025-12-04
V;Futuro;Normal;28/02/2024;301;0,09;CIEL3;367,25;24;25/01/2024;2025-12-04
C;Futuro;Normal;22/02/2024;348;0,09;ENBR3;399,04;24;25/01/2024;2025-12-04
C;Futuro;Normal;26/02/2024;60;0,01;VVAR3;154,44;24;25/01/2024;2025-12-04
V;Futuro;Normal;21/02/2024;411;0,03;ITUB4;108,72;24;25/01/2024;2025-12-04
C;Futuro;Normal;28/02/2024;404;0,05;JBSS3;293,27;24;25/01/2024;2025-12-04
C;Futuro;Normal;29/02/2024;336;0,05;SUZB3;147,64;24;25/01/2024;2025-12-04
V;Futuro;Normal;25/02/2024;494;0,07;RENT3;461,91;24;25/01/2024;2025-12-04
V;Futuro;Normal;28/02/2024;223;0,03;ITUB4;121,81;24;25/01/2024;2025-12-04
V;Futuro;Normal;21/02/2024;471;0,03;BRFS3;457,13;24;25/01/2024;2025-12-04
V;Futuro;Normal;20/02/2024;404;0,07;ENBR3;93,55;24;25/01/2024;2025-12-04
V;Futuro;Normal;25/02/2024;388;0,07;BBAS3;423,13;24;25/01/2024;2025-12-04
V;Futuro;Normal;23/02/2024;63;0,1;ITUB4;92,26;24;25/01/2024;2025-12-04
