cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;97,3;23/02/2024;219;0,05;GGBR4;Normal;21;22/01/2024;2025-12-03
V;Futuro;119,79;16/02/2024;207;0,1;B3SA3;Normal;21;22/01/2024;2025-12-03
V;Futuro;167,91;19/02/2024;69;0,02;PETR4;Normal;21;22/01/2024;2025-12-03
C;Futuro;404,83;22/02/2024;226;0,1;VALE3;Normal;21;22/01/2024;2025-12-03
V;Futuro;90,31;19/02/2024;118;0,05;GGBR4;Normal;21;22/01/2024;2025-12-03
C;Futuro;90,51;20/02/2024;301;0,03;PETR4;Normal;21;22/01/2024;2025-12-03
V;Futuro;417,79;23/02/2024;253;0,06;CSNA3;Normal;21;22/01/2024;2025-12-03
V;Futuro;390,37;22/02/2024;147;0,02;B3SA3;Normal;21;22/01/2024;2025-12-03
C;Futuro;65,79;20/02/2024;76;0,1;B3SA3;Normal;21;22/01/2024;2025-12-03
V;Futuro;490,29;21/02/2024;164;0,04;ENBR3;Normal;21;22/01/2024;2025-12-03
V;Futuro;226,91;23/02/2024;393;0,03;B3SA3;Normal;21;22/01/2024;2025-12-03
C;Futuro;283,71;22/02/2024;339;0,01;VALE3;Normal;21;22/01/2024;2025-12-03
