cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;56,9;02/02/2024;393;0,09;WEGE3;Normal;2;03/01/2024;2025-12-03
V;Futuro;212,63;31/01/2024;409;0,03;CIEL3;Normal;2;03/01/2024;2025-12-03
V;Futuro;437,3;02/02/2024;296;0,08;BRFS3;Normal;2;03/01/2024;2025-12-03
C;Futuro;285,83;31/01/2024;91;0,02;ABEV3;Normal;2;03/01/2024;2025-12-03
V;Futuro;74,94;06/02/2024;280;0,01;BRFS3;Normal;2;03/01/2024;2025-12-03
V;Futuro;222,07;01/02/2024;311;0,01;BRFS3;Normal;2;03/01/2024;2025-12-03
V;Futuro;103,57;05/02/2024;40;0,06;VVAR3;Normal;2;03/01/2024;2025-12-03
V;Futuro;254,78;29/01/2024;174;0,06;PETR4;Normal;2;03/01/2024;2025-12-03
V;Futuro;288,99;29/01/2024;110;0,04;VVAR3;Normal;2;03/01/2024;2025-12-03
V;Futuro;375,43;30/01/2024;481;0;VVAR3;Normal;2;03/01/2024;2025-12-03
C;Futuro;74,04;06/02/2024;75;0,03;RENT3;Normal;2;03/01/2024;2025-12-03
