cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;06/02/2024;420;0,05;JBSS3;477,43;6;07/01/2024;2025-12-04
C;Futuro;Normal;04/02/2024;228;0,09;B3SA3;302,51;6;07/01/2024;2025-12-04
C;Futuro;Normal;03/02/2024;68;0,03;ITUB4;122,45;6;07/01/2024;2025-12-04
C;Futuro;Normal;08/02/2024;109;0,07;CIEL3;332,46;6;07/01/2024;2025-12-04
C;Futuro;Normal;11/02/2024;437;0,09;ITUB4;63,4;6;07/01/2024;2025-12-04
C;Futuro;Normal;03/02/2024;181;0,08;GGBR4;214;6;07/01/2024;2025-12-04
C;Futuro;Normal;06/02/2024;495;0,08;BBDC4;83,17;6;07/01/2024;2025-12-04
C;Futuro;Normal;06/02/2024;359;0,01;SUZB3;421,66;6;07/01/2024;2025-12-04
C;Futuro;Normal;06/02/2024;208;0,08;BBAS3;495,55;6;07/01/2024;2025-12-04
V;Futuro;Normal;09/02/2024;484;0,06;MGLU3;377,44;6;07/01/2024;2025-12-04
