cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;188,49;29/02/2024;141;0;B3SA3;Normal;27;28/01/2024;2025-12-03
C;Futuro;364,56;01/03/2024;216;0;CSNA3;Normal;27;28/01/2024;2025-12-03
V;Futuro;393,56;28/02/2024;288;0,07;B3SA3;Normal;27;28/01/2024;2025-12-03
V;Futuro;255,35;01/03/2024;217;0,08;GGBR4;Normal;27;28/01/2024;2025-12-03
V;Futuro;382,54;25/02/2024;381;0,01;BBAS3;Normal;27;28/01/2024;2025-12-03
C;Futuro;63,67;24/02/2024;333;0,09;VALE3;Normal;27;28/01/2024;2025-12-03
C;Futuro;214,82;23/02/2024;146;0,07;BRFS3;Normal;27;28/01/2024;2025-12-03
V;Futuro;308,22;03/03/2024;65;0,04;ITUB4;Normal;27;28/01/2024;2025-12-03
V;Futuro;268,51;03/03/2024;69;0,01;CSNA3;Normal;27;28/01/2024;2025-12-03
V;Futuro;71,95;24/02/2024;2;0,01;VALE3;Normal;27;28/01/2024;2025-12-03
C;Futuro;201,85;27/02/2024;461;0,09;WEGE3;Normal;27;28/01/2024;2025-12-03
C;Futuro;117,96;26/02/2024;244;0,06;JBSS3;Normal;27;28/01/2024;2025-12-03
C;Futuro;140,63;26/02/2024;31;0,07;EGIE3;Normal;27;28/01/2024;2025-12-03
V;Futuro;280,1;02/03/2024;189;0,03;ITUB4;Normal;27;28/01/2024;2025-12-03
V;Futuro;387,5;27/02/2024;112;0,03;MGLU3;Normal;27;28/01/2024;2025-12-03
C;Futuro;482,67;29/02/2024;294;0,03;BBDC4;Normal;27;28/01/2024;2025-12-03
