cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;16/02/2024;207;0,05;LREN3;356,76;14;15/01/2024;2025-12-04
C;Futuro;Normal;11/02/2024;480;0,07;LREN3;50,54;14;15/01/2024;2025-12-04
C;Futuro;Normal;14/02/2024;177;0;ENBR3;178,63;14;15/01/2024;2025-12-04
V;Futuro;Normal;18/02/2024;314;0;VALE3;485,23;14;15/01/2024;2025-12-04
C;Futuro;Normal;12/02/2024;480;0,08;SUZB3;66,57;14;15/01/2024;2025-12-04
V;Futuro;Normal;10/02/2024;389;0,05;JBSS3;165,02;14;15/01/2024;2025-12-04
V;Futuro;Normal;18/02/2024;284;0,06;RENT3;290,29;14;15/01/2024;2025-12-04
V;Futuro;Normal;11/02/2024;248;0,08;GGBR4;460,37;14;15/01/2024;2025-12-04
V;Futuro;Normal;15/02/2024;479;0,06;ABEV3;124,95;14;15/01/2024;2025-12-04
V;Futuro;Normal;09/02/2024;3;0,1;VVAR3;211,4;14;15/01/2024;2025-12-04
C;Futuro;Normal;14/02/2024;205;0,05;RENT3;437,54;14;15/01/2024;2025-12-04
V;Futuro;Normal;14/02/2024;351;0,01;BBAS3;296,09;14;15/01/2024;2025-12-04
V;Futuro;Normal;17/02/2024;106;0,02;ENBR3;434,5;14;15/01/2024;2025-12-04
V;Futuro;Normal;18/02/2024;478;0,04;VVAR3;75,01;14;15/01/2024;2025-12-04
V;Futuro;Normal;15/02/2024;457;0,04;ITUB4;289,78;14;15/01/2024;2025-12-04
V;Futuro;Normal;10/02/2024;108;0,05;ABEV3;394,48;14;15/01/2024;2025-12-04
