cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;24/02/2024;119;0,07;RENT3;491,28;22;23/01/2024;2025-12-04
V;Futuro;Normal;26/02/2024;287;0,08;ENBR3;289,15;22;23/01/2024;2025-12-04
V;Futuro;Normal;23/02/2024;342;0,02;EGIE3;227,18;22;23/01/2024;2025-12-04
V;Futuro;Normal;24/02/2024;236;0;ABEV3;469,53;22;23/01/2024;2025-12-04
V;Futuro;Normal;27/02/2024;116;0,08;VALE3;403;22;23/01/2024;2025-12-04
V;Futuro;Normal;27/02/2024;294;0,01;ABEV3;412,79;22;23/01/2024;2025-12-04
V;Futuro;Normal;20/02/2024;220;0,04;ABEV3;413,56;22;23/01/2024;2025-12-04
V;Futuro;Normal;27/02/2024;332;0,06;EGIE3;177,69;22;23/01/2024;2025-12-04
C;Futuro;Normal;18/02/2024;449;0,09;MGLU3;291,8;22;23/01/2024;2025-12-04
V;Futuro;Normal;22/02/2024;65;0,04;VVAR3;439,4;22;23/01/2024;2025-12-04
C;Futuro;Normal;25/02/2024;137;0,08;MGLU3;51,96;22;23/01/2024;2025-12-04
V;Futuro;Normal;22/02/2024;412;0,06;B3SA3;200,16;22;23/01/2024;2025-12-04
C;Futuro;Normal;24/02/2024;92;0,03;PETR4;288,46;22;23/01/2024;2025-12-04
C;Futuro;Normal;22/02/2024;21;0,01;ABEV3;366,32;22;23/01/2024;2025-12-04
C;Futuro;Normal;23/02/2024;287;0,08;PETR4;213,71;22;23/01/2024;2025-12-04
C;Futuro;Normal;25/02/2024;223;0,01;GGBR4;326,16;22;23/01/2024;2025-12-04
