cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;03/03/2024;330;0,04;CSNA3;490,39;30;31/01/2024;2025-12-04
V;Futuro;Normal;27/02/2024;97;0,03;LREN3;75,31;30;31/01/2024;2025-12-04
V;Futuro;Normal;25/02/2024;368;0,03;CSNA3;110,22;30;31/01/2024;2025-12-04
V;Futuro;Normal;26/02/2024;344;0,03;CSNA3;198,42;30;31/01/2024;2025-12-04
V;Futuro;Normal;25/02/2024;29;0,04;ABEV3;246,59;30;31/01/2024;2025-12-04
V;Futuro;Normal;25/02/2024;224;0,03;ABEV3;439,35;30;31/01/2024;2025-12-04
C;Futuro;Normal;03/03/2024;355;0,07;CSNA3;284,37;30;31/01/2024;2025-12-04
C;Futuro;Normal;29/02/2024;4;0,06;VALE3;165,45;30;31/01/2024;2025-12-04
V;Futuro;Normal;03/03/2024;264;0,03;EGIE3;299,92;30;31/01/2024;2025-12-04
V;Futuro;Normal;29/02/2024;185;0,01;BBAS3;493,69;30;31/01/2024;2025-12-04
V;Futuro;Normal;05/03/2024;293;0,08;ITUB4;312,04;30;31/01/2024;2025-12-04
C;Futuro;Normal;04/03/2024;312;0,08;BBAS3;91,31;30;31/01/2024;2025-12-04
V;Futuro;Normal;27/02/2024;484;0,08;GGBR4;320,92;30;31/01/2024;2025-12-04
V;Futuro;Normal;02/03/2024;130;0,08;JBSS3;279,84;30;31/01/2024;2025-12-04
V;Futuro;Normal;26/02/2024;462;0,01;WEGE3;299,98;30;31/01/2024;2025-12-04
C;Futuro;Normal;25/02/2024;102;0,09;ENBR3;387,64;30;31/01/2024;2025-12-04
